00007ff8002e79a4 (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00007ff8002b39c8 (__TEXT,__text) external ___rshift_D2A
00007ff80031ff60 (__TEXT,__const) non-external (was a private external) ___rune_depreciated_msg
00007ff8002af6a0 (__TEXT,__text) external ___rv_alloc_D2A
00007ff8002b003d (__TEXT,__text) external ___s2b_D2A
00007ff843ace900 (__DATA_DIRTY,__data) external ___sF
00007ff843acead0 (__DATA_DIRTY,__data) non-external ___sFX
00007ff8002bf81a (__TEXT,__text) external ___sclose
00007ff843acf020 (__DATA_DIRTY,__bss) non-external ___scounted
00007ff843ad0880 (__DATA_DIRTY,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00007ff8002a4bad (__TEXT,__text) non-external (was a private external) ___setenv_locked
                 (undefined) external ___setlogin (from libsystem_kernel)
00007ff8002f48d2 (__TEXT,__text) external ___setonlyClocaleconv
00007ff8002c2817 (__TEXT,__text) non-external (was a private external) ___setrunelocale
00007ff841d5a0f8 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00007ff841d5a100 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
