00007ff8003fd928 (__TEXT,__text) external _clonefileat
00007ff8003fa4b0 (__TEXT,__text) external _close
00007ff8003faea0 (__TEXT,__text) external _close$NOCANCEL
00007ff80040e319 (__TEXT,__text) external _coalition_create
00007ff80040e396 (__TEXT,__text) external _coalition_info_debug_info
00007ff80040e36a (__TEXT,__text) external _coalition_info_resource_usage
00007ff80040e3ee (__TEXT,__text) external _coalition_info_set_efficiency
00007ff80040e3c2 (__TEXT,__text) external _coalition_info_set_name
00007ff80040e422 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
00007ff80040e349 (__TEXT,__text) external _coalition_reap
