000000018038e7ec (__TEXT,__text) external _csr_check
00000001803965ec (__TEXT,__text) external _csr_get_active_config
000000018038de70 (__TEXT,__text) external _debug_control_port_for_pid
00000001803a6a38 (__TEXT,__text) external _debug_syscall_reject
00000001803a6928 (__TEXT,__text) external _debug_syscall_reject_config
00000001d9214c18 (__DATA,__data) external _denap_boost_assertion_token
000000018039bb18 (__TEXT,__text) external _disconnectx
00000001803945ec (__TEXT,__text) non-external _do_compat
00000001803923cc (__TEXT,__text) external _dup
000000018039637c (__TEXT,__text) external _dup2
00000001d420d050 (__DATA_CONST,__const) non-external _err_codes_auth
00000001d420cee0 (__DATA_CONST,__const) non-external _err_codes_env_mgr
00000001d420d248 (__DATA_CONST,__const) non-external _err_codes_exception
00000001d420cf20 (__DATA_CONST,__const) non-external _err_codes_execd
00000001d420d020 (__DATA_CONST,__const) non-external _err_codes_io
00000001d420db88 (__DATA_CONST,__const) non-external _err_codes_iokit_bluetooth
